CustomerKey,Full Name,Gender,DateFirstPurchase,Customer city,Country
11000,Jon Yang,Male,2019-01-19,Rockhampton,Australia
11001,Eugene Huang,Male,2019-01-15,Seaford,Australia
11002,Ruben Torres,Male,2019-01-07,Hobart,Australia
11003,Christy Zhu,Female,2018-12-29,North Ryde,Australia
11004,Elizabeth Johnson,Female,2019-01-23,Wollongong,Australia
11005,Julio Ruiz,Male,2018-12-30,East Brisbane,Australia
11006,Janet Alvarez,Female,2019-01-24,Matraville,Australia
11007,Marco Mehta,Male,2019-01-09,Warrnambool,Australia
11008,Rob Verhoff,Female,2019-01-25,Bendigo,Australia
11009,Shannon Carlson,Male,2019-01-27,Hervey Bay,Australia
11010,Jacquelyn Suarez,Female,2019-01-14,East Brisbane,Australia
11011,Curtis Lu,Male,2018-12-30,East Brisbane,Australia
11012,Lauren Walker,Female,2021-03-16,Bremerton,United States
11013,Ian Jenkins,Male,2021-04-13,Lebanon,United States
11014,Sydney Bennett,Female,2021-03-23,Redmond,United States
11015,Chloe Young,Female,2021-01-18,Burbank,United States
11016,Wyatt Hill,Male,2021-02-09,Imperial Beach,United States
11017,Shannon Wang,Female,2019-01-12,Sunbury,Australia
11018,Clarence Rai,Male,2019-01-17,Bendigo,Australia
11019,Luke Lal,Male,2021-02-12,Langley,Canada
11020,Jordan King,Male,2020-12-29,Metchosin,Canada
11021,Destiny Wilson,Female,2021-01-23,Beaverton,United States
11022,Ethan Zhang,Male,2021-01-20,Bellingham,United States
11023,Seth Edwards,Male,2021-02-17,Bellflower,United States
11024,Russell Xie,Male,2021-06-27,Concord,United States
11025,Alejandro Beck,Male,2019-01-06,Hawthorne,Australia
11026,Harold Sai,Male,2019-01-23,Goulburn,Australia
11027,Jessie Zhao,Male,2019-01-16,Warrnambool,Australia
11028,Jill Jimenez,Female,2019-01-26,St. Leonards,Australia
11029,Jimmy Moreno,Male,2019-01-19,Bendigo,Australia
11030,Bethany Yuan,Female,2019-02-05,Cloverdale,Australia
11031,Theresa Ramos,Female,2019-02-01,Matraville,Australia
11032,Denise Stone,Female,2019-02-18,Melbourne,Australia
11033,Jaime Nath,Male,2019-02-15,Milsons Point,Australia
11034,Ebony Gonzalez,Female,2019-02-01,North Sydney,Australia
11035,Wendy Dominguez,Female,2019-02-06,Cranbourne,Australia
11036,Jennifer Russell,Female,2021-01-22,National City,United States
11037,Chloe Garcia,Female,2021-01-20,Cliffside,Canada
11038,Diana Hernandez,Female,2019-02-07,Lavender Bay,Australia
11039,Marc Martin,Male,2019-02-07,Wollongong,Australia
11040,Jesse Murphy,Male,2021-04-03,Tacoma,United States
11041,Amanda Carter,Female,2021-01-14,Glendale,United States
11042,Megan Sanchez,Female,2021-01-21,Los Angeles,United States
11043,Nathan Simmons,Male,2021-05-08,Glendale,United States
11044,Adam Flores,Male,2019-02-28,Hervey Bay,Australia
11045,Leonard Nara,Male,2021-04-10,Matraville,Australia
